ダウンロードした時刻：2021/03/10 11:46:05

,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最多風向(16方位),最多風向(16方位),最多風向(16方位),平均湿度(％),平均湿度(％),平均湿度(％),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),最小相対湿度(％),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),平均海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),最低海面気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,時分,時分,,,,時分,時分,,,,,,,,,時分,時分,時分,,,,,,,,,,,,時分,時分,時分,,,,,,,,,,,時分,時分,風向,風向,,,,時分,時分,風向,風向,,,,,,,,,,,,,時分,時分,,,,,,,,,,,時分,時分,時分,,,,,,,,,,
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2000/1/1,-3.0,8,1,0.4,8,2000/1/1 16:37,8,1,-5.3,8,2000/1/1 01:21,8,1,,,0,1,,,0,,0,0,1,22.6,0,8,1,35.6,8,1,25,0,8,,,,1,,,0,1,2.6,8,1,4.9,8,2000/1/1 00:20,8,南,8,1,7.1,8,2000/1/1 00:11,8,南南西,8,1,,0,1,67,8,1,3.3,8,1,47,8,2000/1/1 06:49,8,1,983.1,8,1,985.7,8,1,0,1,8,,1,,1,5.3,8,1,晴一時薄曇,8,1,快晴,8,1
2000/1/2,-5.3,8,1,-3.9,8,2000/1/2 15:17,8,1,-8.2,8,2000/1/2 02:19,8,1,,,0,1,,,0,,0,0,1,16.5,0,8,1,32.0,8,1,22,0,8,,,,1,,,0,1,3.3,8,1,6.8,8,2000/1/2 10:00,8,北北東,8,1,9.2,8,2000/1/2 10:07,8,北北東,8,1,,0,1,78,8,1,3.2,8,1,61,8,2000/1/2 09:08,8,1,977.9,8,1,980.5,8,1,0,1,8,,1,,1,6.0,8,1,晴後曇,8,1,雪時々曇,8,1
2000/1/3,-3.6,8,1,-0.9,8,2000/1/3 18:46,8,1,-5.3,8,2000/1/4 0:00,8,1,,,0,1,,,0,,0,0,1,14.6,0,8,1,32.7,8,1,19,0,8,,,,1,,,0,1,3.1,8,1,5.8,8,2000/1/3 22:40,8,南,8,1,8.8,8,2000/1/3 22:35,8,南,8,1,,0,1,78,5,1,3.6,5,1,64,8,2000/1/3 13:50,8,1,972.6,8,1,975.1,8,1,0,1,8,,1,,1,5.8,8,1,晴時々曇,8,1,快晴,8,1
2000/1/4,-3.4,8,1,-0.3,8,2000/1/4 15:20,8,1,-7.2,8,2000/1/4 02:24,8,1,,,0,1,,,0,,0,0,1,21.3,0,8,1,34.7,8,1,19,0,8,,,,1,,,0,1,2.5,8,1,5.1,8,2000/1/4 11:50,8,北,8,1,7.0,8,2000/1/4 11:16,8,北北東,8,1,,0,1,63,8,1,3.0,8,1,50,8,2000/1/4 13:26,8,1,975.4,8,1,978.0,8,1,0,1,8,,1,,1,2.3,8,1,快晴,8,1,曇一時晴,8,1
2000/1/5,-1.9,8,1,1.0,8,2000/1/5 14:46,8,1,-5.3,8,2000/1/5 23:59,8,1,,,0,1,,,0,,0,0,1,4.6,0,8,1,24.8,8,1,18,0,8,,,,1,,,0,1,2.5,8,1,7.0,8,2000/1/5 06:10,8,東,8,1,8.8,8,2000/1/5 06:05,8,東,8,1,,0,1,67,8,1,3.6,8,1,55,8,2000/1/5 15:21,8,1,982.0,8,1,984.6,8,1,0,1,8,,1,,1,10.0,8,1,曇,8,1,晴時々曇,8,1
2000/1/6,-1.9,8,1,0.6,8,2000/1/6 15:15,8,1,-6.1,8,2000/1/6 03:34,8,1,,,0,1,,,0,,0,0,1,15.8,0,8,1,32.1,8,1,17,0,8,,,,1,,,0,1,3.9,8,1,7.2,8,2000/1/6 10:40,8,北東,8,1,9.6,8,2000/1/6 10:35,8,北東,8,1,,0,1,65,8,1,3.5,8,1,54,8,2000/1/6 14:24,8,1,979.4,8,1,981.9,8,1,0,1,8,,1,,1,7.3,8,1,晴時々曇,8,1,曇一時晴,8,1
2000/1/7,-0.9,8,1,0.6,8,2000/1/7 10:56,8,1,-3.4,8,2000/1/7 00:39,8,1,,,0,1,,,0,,0,0,1,6.8,0,8,1,26.8,8,1,15,0,8,,,,1,,,0,1,6.8,8,1,12.5,8,2000/1/7 22:40,8,北東,8,1,16.2,8,2000/1/7 22:23,8,北北東,8,1,,0,1,74,8,1,4.3,8,1,57,8,2000/1/7 03:30,8,1,976.5,8,1,979.0,8,1,0,1,8,,1,,1,10.0,8,1,曇後一時雪,8,1,雪後一時曇,8,1
