É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/03/10 11:45:46

,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj,è∫òaÅiìÏã…Åj
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),çáåvëSìVì˙éÀó (MJ/áu),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœèˆãCà≥(hPa),ïΩãœèˆãCà≥(hPa),ïΩãœèˆãCà≥(hPa),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ç≈è¨ëäëŒéºìx(Åì),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ç≈í·äCñ ãCà≥(hPa),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ïΩãœâ_ó (10ï™î‰),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(íãÅF06éûÅ`18éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû),ìVãCäTãµ(ñÈÅF18éûÅ`óÇì˙06éû)
,,,,,,éûï™,éûï™,,,,éûï™,éûï™,,,,,,,,,éûï™,éûï™,éûï™,,,,,,,,,,,,éûï™,éûï™,éûï™,,,,,,,,,,,éûï™,éûï™,ïóå¸,ïóå¸,,,,éûï™,éûï™,ïóå¸,ïóå¸,,,,,,,,,,,,,éûï™,éûï™,,,,,,,,,,,éûï™,éûï™,éûï™,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2001/1/1,-1.4,8,1,1.7,8,2001/1/1 13:49,8,1,-4.0,8,2001/1/1 03:05,8,1,,,0,1,,,0,,0,0,1,17.2,0,8,1,32.8,8,1,0,1,8,,,,1,,,0,1,2.3,8,1,3.6,8,2001/1/1 20:30,8,ñkñkêº,8,1,5.4,8,2001/1/1 20:51,8,ñkñkêº,8,1,,0,1,70,8,1,3.9,8,1,54,8,2001/1/1 09:07,8,1,992.5,8,1,995.1,8,1,994.5,0,8,2001/1/1 15:44,0,8,1,2.8,8,1,ê∞å„éûÅXì‹àÍéûê·,8,1,ì‹éûÅXê·å„ê∞,8,1
2001/1/2,-2.2,8,1,-0.1,8,2001/1/2 09:06,8,1,-5.8,8,2001/1/2 03:31,8,1,,,0,1,,,0,,0,0,1,7.4,0,8,1,21.2,8,1,0,1,8,,,,1,,,0,1,3.2,8,1,5.5,8,2001/1/2 06:50,8,ñkìå,8,1,7.6,8,2001/1/2 12:21,8,ñkñkìå,8,1,,0,1,75,8,1,3.9,8,1,61,8,2001/1/2 07:32,8,1,993.4,8,1,996.0,8,1,995.1,0,8,2001/1/2 21:31,0,8,1,7.3,8,1,ì‹éûÅXê∞å„ê·,8,1,ì‹éûÅXê·,8,1
2001/1/3,-1.0,8,1,0.9,8,2001/1/3 13:07,8,1,-2.4,8,2001/1/3 03:26,8,1,,,0,1,,,0,,0,0,1,0,1,8,1,23.3,8,1,0,1,8,,,,1,,,0,1,1.6,8,1,3.1,8,2001/1/3 16:50,8,ñkñkìå,8,1,4.3,8,2001/1/3 16:37,8,ñkñkìå,8,1,,0,1,76,8,1,4.3,8,1,54,8,2001/1/3 10:41,8,1,992.1,8,1,994.7,8,1,994.3,0,8,2001/1/3 10:44,0,8,1,10.0,8,1,ì‹,8,1,ì‹,8,1
2001/1/4,-0.2,8,1,1.9,8,2001/1/4 14:59,8,1,-2.1,8,2001/1/4 03:50,8,1,,,0,1,,,0,,0,0,1,3.1,0,8,1,25.3,8,1,0,1,8,,,,1,,,0,1,1.7,8,1,3.7,8,2001/1/5 0:00,8,ñkìå,8,1,5.2,8,2001/1/4 22:40,8,ñkñkìå,8,1,,0,1,73,8,1,4.4,8,1,58,8,2001/1/4 14:29,8,1,992.0,8,1,994.6,8,1,993.7,0,8,2001/1/5 0:00,0,8,1,9.8,8,1,ì‹àÍéûê∞,8,1,ì‹àÍéûê·,8,1
2001/1/5,-0.6,8,1,2.0,8,2001/1/5 11:54,8,1,-2.5,8,2001/1/5 02:17,8,1,,,0,1,,,0,,0,0,1,6.7,0,8,1,27.7,8,1,0,1,8,,,,1,,,0,1,4.5,8,1,7.9,8,2001/1/5 09:50,8,ñkìå,8,1,11.1,8,2001/1/5 09:58,8,ñkñkìå,8,1,,0,1,76,8,1,4.5,8,1,65,8,2001/1/5 12:05,8,1,986.4,8,1,989.0,8,1,984.6,0,8,2001/1/6 0:00,0,8,1,10.0,8,1,ì‹àÍéûê·,8,1,ê·éûÅXì‹,8,1
2001/1/6,-0.4,8,1,1.5,8,2001/1/6 14:40,8,1,-2.0,8,2001/1/6 02:19,8,1,,,0,1,,,0,,0,0,1,8.5,0,8,1,30.2,8,1,0,1,8,,,,1,,,0,1,5.1,8,1,10.4,8,2001/1/6 11:50,8,ñkìå,8,1,14.2,8,2001/1/6 11:40,8,ñkñkìå,8,1,,0,1,79,8,1,4.7,8,1,67,8,2001/1/6 09:33,8,1,981.4,8,1,983.9,8,1,982.9,0,8,2001/1/6 11:45,0,8,1,10.0,8,1,ì‹å„éûÅXê∞àÍéûê·,8,1,ì‹éûÅXê·,8,1
2001/1/7,0.0,8,1,1.2,8,2001/1/7 19:21,8,1,-1.2,8,2001/1/7 03:35,8,1,,,0,1,,,0,,0,0,1,5.9,0,8,1,27.1,8,1,0,1,8,,,,1,,,0,1,7.9,8,1,12.9,8,2001/1/7 09:50,8,ñkìå,8,1,17.6,8,2001/1/7 06:38,8,ñkìå,8,1,,0,1,79,8,1,4.9,8,1,71,8,2001/1/7 20:48,8,1,983.2,8,1,985.7,8,1,984.6,0,8,2001/1/7 23:48,0,8,1,10.0,8,1,ì‹å„éûÅXê·,8,1,ì‹å„éûÅXê∞,8,1
